NUMBER	GLOSS	English	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY	Note
Chen-2013-888-347	钉耙		338	RAKE		
Chen-2013-888-348	锄头		284	HOE	2	
Chen-2013-888-349	扁担					
Chen-2013-888-350	绳子		1218	ROPE	2	
Chen-2013-888-351	镰刀		341	SICKLE	2	
Chen-2013-888-352	麻袋		2990	SACK		
Chen-2013-888-353	箩筐		1539	BASKET	2	
Chen-2013-888-354	织布机		1787	LOOM	2	
Chen-2013-888-355	纺车					
Chen-2013-888-356	弓		994	BOW	2	
Chen-2013-888-357	箭		977	ARROW	2	
Chen-2013-888-358	锍					
Chen-2013-888-359	火药		1798	GUNPOWDER	2	
Chen-2013-888-360	风箱					add bellows
Chen-2013-888-361	网		2653	NET (FOR CATCHING)	4	
Chen-2013-888-362	囱		1305	CHIMNEY		
Chen-2013-888-363	石磨		636	MILL		
Chen-2013-888-364	筛子		86	SIEVE	2	
Chen-2013-888-365	簸箕		2051	DUSTPAN	2	
Chen-2013-888-366	钩子		1071	HOOK	2	
Chen-2013-888-367	床		1663	BED	2	
Chen-2013-888-368	桌子		1775	TABLE	2	
Chen-2013-888-369	椅子		1476	CHAIR	2	
Chen-2013-888-370	凳子		2058	STOOL	2	
Chen-2013-888-371	箱子		1465	BOX	2	
Chen-2013-888-372	柜子					add cabinet
Chen-2013-888-373	架子		745	SHELF		
Chen-2013-888-374	扫帚		245	BROOM	2	
Chen-2013-888-375	刷子		1821	BRUSH	2	
Chen-2013-888-376	柴		10	FIREWOOD	2	
Chen-2013-888-377	灶		859	STOVE	2	
Chen-2013-888-378	锅		2056	WOK	2	
Chen-2013-888-379	甑子					
Chen-2013-888-380	菜刀		2772	VEGETABLE KNIFE	2	
Chen-2013-888-381	碗		1530	BOWL	2	
Chen-2013-888-382	筷子		1987	CHOPSTICKS	2	
Chen-2013-888-383	勺子		1378	SPOON	2	
Chen-2013-888-384	酒杯					
Chen-2013-888-385	坛子					add jar
Chen-2013-888-386	水缸					
Chen-2013-888-387	水桶					
Chen-2013-888-388	罐子		1051	CAN		
Chen-2013-888-389	水瓢					
Chen-2013-888-390	火钳		272	TONGS		
Chen-2013-888-391	吹火筒					
Chen-2013-888-392	篮子		1539	BASKET		
Chen-2013-888-393	背带		2973	STRAP		
Chen-2013-888-394	扇子		1971	FAN (OBJECT)	2	
Chen-2013-888-395	秤		2783	SCALES (MEASURE INSTRUMENT)	2	
Chen-2013-888-396	尺子					
Chen-2013-888-397	针		1382	NEEDLE (FOR SEWING)	2	
Chen-2013-888-398	剪刀		356	SHEARS	2	
Chen-2013-888-399	梯子		1464	LADDER	2	
Chen-2013-888-400	锁		1596	LOCK	2	
Chen-2013-888-401	钥匙		1472	KEY	2	
Chen-2013-888-402	灯		625	LAMP	2	
Chen-2013-888-403	灯笼					
Chen-2013-888-404	镜子		1171	MIRROR	2	
Chen-2013-888-405	耳环		770	EARRING	2	
Chen-2013-888-406	手镯		1754	BRACELET	2	
Chen-2013-888-407	梳子		1475	COMB	2	
Chen-2013-888-408	棺材		2011	COFFIN	2	
Chen-2013-888-409	钱		1559	MONEY	2	
Chen-2013-888-410	货物		1082	MERCHANT 		
Chen-2013-888-411	鼓		908	DRUM	2	
Chen-2013-888-412	锣		2502	GONG	2	
Chen-2013-888-413	钟		2246	BELL	2	
Chen-2013-888-414	喇叭		775	TRUMPET		
Chen-2013-888-415	香		376	FRAGRANT	2	
Chen-2013-888-416	蜡烛		1273	CANDLE	2	
Chen-2013-888-417	话		1115	SPEECH	2	
Chen-2013-888-418	歌		1096	SONG	2	
Chen-2013-888-419	故事		2060	STORY	2	
Chen-2013-888-420	谜语		2970	RIDDLE		
Chen-2013-888-421	笔		794	PEN	2	
Chen-2013-888-422	书		963	BOOK	2	
Chen-2013-888-423	纸		648	PAPER	2	
Chen-2013-888-424	信		1612	LETTER	2	
Chen-2013-888-425	球		1845	BALL	2	
Chen-2013-888-426	旗子		2623	FLAG	2	
Chen-2013-888-427	牌		2619	CARD		
Chen-2013-888-428	一		1493	ONE	2	
Chen-2013-888-429	二		1498	TWO	2	
Chen-2013-888-430	三		492	THREE	2	
Chen-2013-888-431	四		1500	FOUR	2	
Chen-2013-888-432	五		493	FIVE	2	
Chen-2013-888-433	六		1703	SIX	2	
Chen-2013-888-434	七		1704	SEVEN	2	
Chen-2013-888-435	八		1705	EIGHT	2	
Chen-2013-888-436	九		1483	NINE	2	
Chen-2013-888-437	十		1515	TEN	2	
Chen-2013-888-438	十一		1706	ELEVEN	2	
Chen-2013-888-439	十二		1707	TWELVE	2	
Chen-2013-888-440	十三		1708	THIRTEEN	2	
Chen-2013-888-441	十四		2451	FOURTEEN	2	
Chen-2013-888-442	十五		1709	FIFTEEN	2	
Chen-2013-888-443	十六		2454	SIXTEEN	2	
Chen-2013-888-444	十		1515	TEN	2	
Chen-2013-888-445	十七		2453	SEVENTEEN	2	
Chen-2013-888-446	十		1515	TEN	2	
Chen-2013-888-447	十八		1713	EIGHTEEN	2	
Chen-2013-888-448	十九		1714	NINETEEN	2	
Chen-2013-888-449	二十		1710	TWENTY	2	
Chen-2013-888-450	三十		1715	THIRTY	2	
Chen-2013-888-451	百		1634	HUNDRED	2	
Chen-2013-888-452	位（客）		516	PERSON (CLASSIFIER)	4	
Chen-2013-888-453	个（蛋）				4	
Chen-2013-888-454	只（鸡）		2081	CHICKEN (CLASSIFIER)	2	
Chen-2013-888-455	条（河）		2084	ROPE (CLASSIFIER)	4	
Chen-2013-888-456	棵（树）		2721	TREE (CLASSIFIER)	4	
Chen-2013-888-457	根（棍）		2085	STICK (CLASSIFIER)	2	
Chen-2013-888-458	块		594	PIECE		
Chen-2013-888-459	双		2089	PAIR (CLASSIFIER)	2	
Chen-2013-888-460	层					
Chen-2013-888-461	件		2088	CLOTHING (CLASSIFIER)	4	
Chen-2013-888-462	句					
Chen-2013-888-463	首					
Chen-2013-888-464	斤		2647	CATTY (MASS UNIT)	2	
Chen-2013-888-465	两					
Chen-2013-888-466	丈					
Chen-2013-888-467	尺		2782	FOOT (MEASURE)	2	
Chen-2013-888-468	元		1406	FAR	2	
Chen-2013-888-469	年		1226	YEAR	2	
Chen-2013-888-470	月		1370	MONTH	2	
Chen-2013-888-471	天		1225	DAY (NOT NIGHT)	2	
Chen-2013-888-472	岁		1789	AGE	2	
Chen-2013-888-473	每天					
Chen-2013-888-474	前面		2194	FRONT (PART)	2	
Chen-2013-888-475	后面		1686	BEHIND	2	
Chen-2013-888-476	左边		244	LEFT	2	
Chen-2013-888-477	右边		1019	RIGHT	2	
Chen-2013-888-478	上边		57	ATOP		
Chen-2013-888-479	下边		1485	BELOW OR UNDER		
Chen-2013-888-480	里边		1606	INSIDE	2	
Chen-2013-888-481	外边		762	OUTSIDE	2	
Chen-2013-888-482	中间		1093	MIDDLE	2	
Chen-2013-888-483	旁边		682	SIDE	2	
Chen-2013-888-484	今天		1283	TODAY	2	
Chen-2013-888-485	明天		1329	TOMORROW	2	
Chen-2013-888-486	昨天		1174	YESTERDAY	2	
Chen-2013-888-487	后天		1179	DAY AFTER TOMORROW	2	
Chen-2013-888-488	上午		2775	FORENOON	2	
Chen-2013-888-489	中午		12	MIDDAY	2	
Chen-2013-888-490	下午		1807	AFTERNOON	2	
Chen-2013-888-491	早晨		1339	MORNING	2	
Chen-2013-888-492	晚上		1629	EVENING	2	
Chen-2013-888-493	半夜		1233	NIGHT		
Chen-2013-888-494	初一					
Chen-2013-888-495	初二					
Chen-2013-888-496	初三					
Chen-2013-888-497	正月		2036	JANUARY	2	
Chen-2013-888-498	二月		2037	FEBRUARY	2	
Chen-2013-888-499	三月		2846	MARCH	2	
Chen-2013-888-500	四月		2847	APRIL	2	
Chen-2013-888-501	五月		2848	MAY (MONTH)	2	
Chen-2013-888-502	六月		2849	JUNE	2	
Chen-2013-888-503	七月		2850	JULY	2	
Chen-2013-888-504	八月		2851	AUGUST	2	
Chen-2013-888-505	九月		2852	SEPTEMBER	2	
Chen-2013-888-506	十月		2853	OCTOBER	2	
Chen-2013-888-507	十一月		2854	NOVEMBER	2	
Chen-2013-888-508	十二月		2855	DECEMBER	2	
Chen-2013-888-509	今年		513	THIS YEAR	2	
Chen-2013-888-510	去年		514	LAST YEAR	2	
Chen-2013-888-511	明年		515	NEXT YEAR	2	
Chen-2013-888-512	现在		1376	NOW	2	
Chen-2013-888-513	将来		2427	FUTURE		
Chen-2013-888-514	从前		2914	ONCE (IN THE PAST)	2	
Chen-2013-888-515	我		1209	I	2	
Chen-2013-888-516	我们		1212	WE	2	
Chen-2013-888-517	你		1215	THOU	2	
Chen-2013-888-518	你们		1213	YOU	2	
Chen-2013-888-519	他		1211	HE	2	
