# Wordlist

# DATA
ID	ID	LOCAL_ID	LANGUAGE_ID	PARAMETER_ID	VALUE	FORM	SEGMENTS	COMMENT	SOURCE	COGNACY	LOAN	CONCEPT_NAME	CONCEPT_CONCEPTICON_ID	CONCEPT_CONCEPTICON_GLOSS	LANGUAGE_NAME	LANGUAGE_GLOTTOCODE	LANGUAGE_GLOTTOLOG_NAME	LANGUAGE_ISO639P3CODE	LANGUAGE_MACROAREA	LANGUAGE_FAMILY	DOCULECT	CONCEPT	IPA
2249	qiandongwest-Chen-2013-888-92-1		qiandongwest	Chen-2013-888-92	qa³³ɕe⁵³	qa³³ɕe⁵³	q a ³³ + ɕ e ⁵³		Chen2013			下巴	1510	CHIN	Qiandong, West						Qiandong, West	下巴	qa³³+ɕe⁵³
2250	bahengwest-Chen-2013-888-92-1		bahengwest	Chen-2013-888-92	ʔa⁰³ŋo³³tɕei⁴²	ʔa⁰³ŋo³³tɕei⁴²	ʔ a ³/⁰ + ŋ o ³³ + tɕ ei ⁴²		Chen2013			下巴	1510	CHIN	Baheng, West	pahn1237					Baheng, West	下巴	ʔa³/⁰+ŋo³³+tɕei⁴²
2251	bahengeast-Chen-2013-888-92-1		bahengeast	Chen-2013-888-92	ʑuŋ³³tɕʰi³¹	ʑuŋ³³tɕʰi³¹	ʑ u ŋ ³³ + tɕʰ i ³¹		Chen2013			下巴	1510	CHIN	Baheng, East	pahn1237					Baheng, East	下巴	ʑuŋ³³+tɕʰi³¹
2239	luobuohewestern-Chen-2013-888-92-1		luobuohewestern	Chen-2013-888-92	ʔə⁰²qe³¹ze⁵⁵	ʔə⁰²qe³¹ze⁵⁵	ʔ ə ²/⁰ + q e ³¹ + z e ⁵⁵		Chen2013			下巴	1510	CHIN	Luobuohe, Western	luop1235					Luobuohe, Western	下巴	ʔə²/⁰+qe³¹+ze⁵⁵
2240	chuanqiandian-Chen-2013-888-92-1		chuanqiandian	Chen-2013-888-92	pua⁴³tʂai¹³	pua⁴³tʂai¹³	p ua ⁴³ + t ʂ ai ¹³		Chen2013			下巴	1510	CHIN	Chuanqiandian	chua1256					Chuanqiandian	下巴	pua⁴³+tʂai¹³
2241	chuanqiandiancentralguizhou-Chen-2013-888-92-1		chuanqiandiancentralguizhou	Chen-2013-888-92	qə⁰²se⁵⁵	qə⁰²se⁵⁵	q ə ²/⁰ + s e ⁵⁵		Chen2013			下巴	1510	CHIN	Chuanqiandian, Central Guizhou	nort2749					Chuanqiandian, Central Guizhou	下巴	qə²/⁰+se⁵⁵
2243	chuanqiandiannortheastyunnan-Chen-2013-888-92-1		chuanqiandiannortheastyunnan	Chen-2013-888-92	qa⁵³dʑɦai¹¹	qa⁵³dʑɦai¹¹	q a ⁵³ + d ʑ ɦ ai ¹¹		Chen2013			下巴	1510	CHIN	Chuanqiandian, Northeast Yunnan	larg1235					Chuanqiandian, Northeast Yunnan	下巴	qa⁵³+dʑɦai¹¹
2247	qiandongeast-Chen-2013-888-92-1		qiandongeast	Chen-2013-888-92	ha⁵³pa²²	ha⁵³pa²²	h a ⁵³ + p a ²²		Chen2013			下巴	1510	CHIN	Qiandong, East	east2370					Qiandong, East	下巴	ha⁵³+pa²²
#
11604	luobuoheeastern-Chen-2013-888-479-1		luobuoheeastern	Chen-2013-888-479	tə⁰²qʰaŋ⁵⁵	tə⁰²qʰaŋ⁵⁵	t ə ²/⁰ + qʰ a ŋ ⁵⁵		Chen2013			下边	1485	BELOW OR UNDER	Luobuohe, Eastern	luop1235					Luobuohe, Eastern	下边	tə²/⁰+qʰaŋ⁵⁵
11605	luobuohewestern-Chen-2013-888-479-1		luobuohewestern	Chen-2013-888-479	χə⁵⁵ti³¹	χə⁵⁵ti³¹	χ ə ⁵⁵ + t i ³¹		Chen2013			下边	1485	BELOW OR UNDER	Luobuohe, Western	luop1235					Luobuohe, Western	下边	χə⁵⁵+ti³¹
11606	chuanqiandian-Chen-2013-888-479-1		chuanqiandian	Chen-2013-888-479	tɕe³¹	tɕe³¹	tɕ e ³¹		Chen2013			下边	1485	BELOW OR UNDER	Chuanqiandian	chua1256					Chuanqiandian	下边	tɕe³¹
11607	chuanqiandiancentralguizhou-Chen-2013-888-479-1		chuanqiandiancentralguizhou	Chen-2013-888-479	kɛ¹³to²²	kɛ¹³to²²	k ɛ ¹³ + t o ²²		Chen2013			下边	1485	BELOW OR UNDER	Chuanqiandian, Central Guizhou	nort2749					Chuanqiandian, Central Guizhou	下边	kɛ¹³+to²²
11608	chuanqiandiansouthernguizhou-Chen-2013-888-479-1		chuanqiandiansouthernguizhou	Chen-2013-888-479	ha⁴⁴to¹³	ha⁴⁴to¹³	h a ⁴⁴ + t o ¹³		Chen2013			下边	1485	BELOW OR UNDER	Chuanqiandian, Southern Guizhou	cent1394					Chuanqiandian, Southern Guizhou	下边	ha⁴⁴+to¹³
11609	chuanqiandiannortheastyunnan-Chen-2013-888-479-1		chuanqiandiannortheastyunnan	Chen-2013-888-479	pi⁵⁵dau⁵³	pi⁵⁵dau⁵³	p i ⁵⁵ + d au ⁵³		Chen2013			下边	1485	BELOW OR UNDER	Chuanqiandian, Northeast Yunnan	larg1235					Chuanqiandian, Northeast Yunnan	下边	pi⁵⁵+dau⁵³
11613	qiandongeast-Chen-2013-888-479-1		qiandongeast	Chen-2013-888-479	qɛ²⁴tɕi³³	qɛ²⁴tɕi³³	q ɛ ²⁴ + tɕ i ³³		Chen2013			下边	1485	BELOW OR UNDER	Qiandong, East	east2370					Qiandong, East	下边	qɛ²⁴+tɕi³³
11615	qiandongwest-Chen-2013-888-479-1		qiandongwest	Chen-2013-888-479	xʰæ̃⁴⁴ɬæ̃⁵⁵	xʰæ̃⁴⁴ɬæ̃⁵⁵	xʰ æ̃ ⁴⁴ + ɬ æ̃ ⁵⁵		Chen2013			下边	1485	BELOW OR UNDER	Qiandong, West						Qiandong, West	下边	xʰæ̃⁴⁴+ɬæ̃⁵⁵
11616	bahengwest-Chen-2013-888-479-1		bahengwest	Chen-2013-888-479	ʔa⁰³tɛ⁴²ȵ̥ei⁵³	ʔa⁰³tɛ⁴²ȵ̥ei⁵³	ʔ a ³/⁰ + t ɛ ⁴² + ȵ̥̥ ei ⁵³		Chen2013			下边	1485	BELOW OR UNDER	Baheng, West	pahn1237					Baheng, West	下边	ʔa³/⁰+tɛ⁴²+ȵ̥̥ei⁵³
