ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY
14126	580	alive (living)	Numao	Numao	kjan¹³	kjan¹³	k j a n ¹³	numa1251	1422	25.447767	108.064732	
14127	580	alive (living)	CentralGuizhouChuanqiandian	Chuanqiandian, Central Guizhou	tɕẽ⁵⁵; ka⁵⁵	tɕẽ⁵⁵	tɕ ẽ ⁵⁵	nort2749	1422	26.231562	106.861969	
21451	883	all	WesternBaheng	Baheng, West	ʔi⁵⁵tɔ⁵⁵	ʔi⁵⁵tɔ⁵⁵	ʔ i ⁵⁵ + t ɔ ⁵⁵	pahn1237		25.74971	109.286281	
21455	883	all	EasternXiangxi	Xiangxi, East	sa³¹	sa³¹	s a ³¹	east2371		28.124036	109.890473	
21456	883	all	WesternXiangxi	Xiangxi, West	sɑ⁵³	sɑ⁵³	s ɑ ⁵³	west2430		28.33212	109.422366	
21459	883	all	ZaoMin	Zao Min	du⁴⁴	du⁴⁴	d u ⁴⁴	dzao1238		24.612303	112.266749	
21462	883	all	Chuanqiandian	Chuanqiandian	tou⁴³	tou⁴³	t ɔ ⁴³	chua1256		27.51846	105.421028	
21464	883	all	Younuo	Younuo	je³³kʰi³³	je³³kʰi³³	j e ³³ + kʰ i ³³	youn1235		25.730893	110.115975	
21465	883	all	BiaoMin	Biao Min	tʰɔŋ³³	tʰɔŋ³³	tʰ ɔ ŋ ³³	biao1254		25.82286	111.29622	
21466	883	all	EasternLuobuohe	Luobuohe, Eastern	pa⁵⁵lin³¹	pa⁵⁵lin³¹	p a ⁵⁵ + l i n ³¹	luop1235		26.63966	107.913354	
21467	883	all	WesternLuobuohe	Luobuohe, Western	ʑi³¹χɑ⁵⁵	ʑi³¹χɑ⁵⁵	ʑ i ³¹ + χ ɑ ⁵⁵	luop1235		26.854607	107.226676	
21469	883	all	EasternQiandong	Qiandong, East	teu²⁴	teu²⁴	t eu ²⁴	east2370		27.78098	110.499463	
21470	883	all	CentralGuizhouChuanqiandian	Chuanqiandian, Central Guizhou	tu⁴²	tu⁴²	t u ⁴²	nort2749		26.231562	106.861969	
21450	883	all	EasternBahen	Baheng, East	ke⁵⁵	ke⁵⁵	k e ⁵⁵	pahn1237		27.11733	111.02615	
21449	883	all	WesternQiandong	Qiandong, West	se⁵⁵se⁵⁵	se⁵⁵se⁵⁵	s e ⁵⁵ + s e ⁵⁵			26.43106	107.68758	
21453	883	all	Bana	Bana	tu⁴⁴	tu⁴⁴	t u ⁴⁴			26.265147	110.096902	
21473	884	also	WesternQiandong	Qiandong, West	ʔeu⁴⁴	ʔeu⁴⁴	ʔ eu ⁴⁴			26.43106	107.68758	
21474	884	also	EasternBahen	Baheng, East	ʑa³¹	ʑa³¹	ʑ a ³¹	pahn1237		27.11733	111.02615	
21475	884	also	WesternBaheng	Baheng, West	ko⁴⁴	ko⁴⁴	k o ⁴⁴	pahn1237		25.74971	109.286281	
21477	884	also	Bana	Bana	ʑa²²	ʑa²²	ʑ a ²²			26.265147	110.096902	
21479	884	also	EasternXiangxi	Xiangxi, East	ʑe⁵⁵	ʑe⁵⁵	ʑ e ⁵⁵	east2371		28.124036	109.890473	
21480	884	also	WesternXiangxi	Xiangxi, West	ʑa⁴²	ʑa⁴²	ʑ a ⁴²	west2430		28.33212	109.422366	
21483	884	also	ZaoMin	Zao Min	nu²²	nu²²	n u ²²	dzao1238		24.612303	112.266749	
21486	884	also	Chuanqiandian	Chuanqiandian	ʑi⁴³	ʑi⁴³	ʑ i ⁴³	chua1256		27.51846	105.421028	
21488	884	also	Younuo	Younuo	ja²¹	ja²¹	j a ²¹	youn1235		25.730893	110.115975	
21489	884	also	BiaoMin	Biao Min	tɕi³³	tɕi³³	tɕ i ³³	biao1254		25.82286	111.29622	
21490	884	also	EasternLuobuohe	Luobuohe, Eastern	na⁵⁵	na⁵⁵	n a ⁵⁵	luop1235		26.63966	107.913354	
21491	884	also	WesternLuobuohe	Luobuohe, Western	lo⁵⁵	lo⁵⁵	l o ⁵⁵	luop1235		26.854607	107.226676	
21493	884	also	Numao	Numao	tei⁴²	tei⁴²	t ei ⁴²	numa1251		25.447767	108.064732	
21494	884	also	CentralGuizhouChuanqiandian	Chuanqiandian, Central Guizhou	ʑe⁵⁵	ʑe⁵⁵	ʑ e ⁵⁵	nort2749		26.231562	106.861969	
21522	886	and	WesternQiandong	Qiandong, West	ɣuŋ⁴⁴	ɣuŋ⁴⁴	ɣ u ŋ ⁴⁴		1577	26.43106	107.68758	
