ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	PARTIAL_COGNATE_SETS
17160	706	(wind) blow	WesternBaheng	Baheng, West	pʰɔ³⁵	pʰɔ³⁵	pʰ ɔ ³⁵	pahn1237	175	25.74971	109.286281		1 7 8	AXT	PU2	10	10.P.C 10.U.V 10.2.T	1.6 3.0 1.0	pʰɔ³⁵	0	21
17161	706	(wind) blow	WesternLuobuohe	Luobuohe, Western	qwɑ³¹	qwɑ³¹	q w ɑ ³¹	luop1235	175	26.854607	107.226676		1 6 7 8	ACXT	KWA3	11	11.K.C 11.W.C 11.A.V 11.3.T	1.6 1.2 3.0 1.0	qwɑ³¹	0	23
17164	706	(wind) blow	BiaoMin	Biao Min	klət⁵³	klət⁵³	k l ə t ⁵³	biao1254	175	25.82286	111.29622		1 5 7 1 8	ACXLT	KLET3	2	2.K.C 2.L.C 2.E.V 2.T.c 2.3.T	1.6 1.2 3.0 1.1 1.0	klət⁵³	0	24
17167	706	(wind) blow	Younuo	Younuo	kwen²¹	kwen²¹	k w e n ²¹	youn1235	175	25.730893	110.115975		1 6 7 4 8	ACXLT	KWEN3	14	14.K.C 14.W.C 14.E.V 14.N.c 14.3.T	1.6 1.2 3.0 1.1 1.0	kwen²¹	0	23
17170	706	(wind) blow	WesternXiangxi	Xiangxi, West	kwɑ³¹	kwɑ³¹	k w ɑ ³¹	west2430	175	28.33212	109.422366		1 6 7 8	ACXT	KWA3	13	13.K.C 13.W.C 13.A.V 13.3.T	1.6 1.2 3.0 1.0	kwɑ³¹	0	23
17171	706	(wind) blow	EasternLuobuohe	Luobuohe, Eastern	qwa³¹	qwa³¹	q w a ³¹	luop1235	175	26.63966	107.913354		1 6 7 8	ACXT	KWA3	6	6.K.C 6.W.C 6.A.V 6.3.T	1.6 1.2 3.0 1.0	qwa³¹	0	23
17175	706	(wind) blow	Bana	Bana	kʰja³⁵	kʰja³⁵	kʰ j a ³⁵		175	26.265147	110.096902		1 6 7 8	ACXT	KJA2	1	1.K.C 1.J.C 1.A.V 1.2.T	1.6 1.2 3.0 1.0	kʰja³⁵	0	22
17176	706	(wind) blow	EasternXiangxi	Xiangxi, East	kwa³¹	kwa³¹	k w a ³¹	east2371	175	28.124036	109.890473		1 6 7 8	ACXT	KWA3	8	8.K.C 8.W.C 8.A.V 8.3.T	1.6 1.2 3.0 1.0	kwa³¹	0	23
17177	706	(wind) blow	EasternBahen	Baheng, East	pʰjo³⁵	pʰjo³⁵	pʰ j o ³⁵	pahn1237	175	27.11733	111.02615		1 6 7 8	ACXT	PJU2	5	5.P.C 5.J.C 5.U.V 5.2.T	1.6 1.2 3.0 1.0	pʰjo³⁵	0	21
17178	706	(wind) blow	Chuanqiandian	Chuanqiandian	kua²⁴	kua²⁴	k u/w a ²⁴	chua1256	175	27.51846	105.421028		1 6 7 8	ACXT	KWA2	4	4.K.C 4.W.C 4.A.V 4.2.T	1.6 1.2 3.0 1.0	ku/wa²⁴	0	23
11927	492	1st day of the lunar month	WesternBaheng	Baheng, West	heŋ³⁵jei³¹	heŋ³⁵jei³¹	h e ŋ ³⁵ + j ei ³¹	pahn1237	3354	25.74971	109.286281		3 7 4 8 9 6 7 8	AXLT_AXT	HEN2_JE3	10	10.H.C 10.E.V 10.N.c 10.2.T 10._._ 10.J.C 10.E.V 10.3.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	heŋ³⁵+jei³¹	0	27 28
11928	492	1st day of the lunar month	Numao	Numao	sai³³ʔi³³	sai³³ʔi³³	s ai ³³ + ʔ i ³³	numa1251	3354	25.447767	108.064732		3 7 8 9 1 7 8	AXT_AXT	SA4_HI4	9	9.S.C 9.A.V 9.4.T 9._._ 9.H.C 9.I.V 9.4.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	sai³³+ʔi³³	0	27 26
11929	492	1st day of the lunar month	WesternLuobuohe	Luobuohe, Western	sen³¹ʔi³⁵	sen³¹ʔi³⁵	s e n ³¹ + ʔ i ³⁵	luop1235	3354	26.854607	107.226676		3 7 4 8 9 1 7 8	AXLT_AXT	SEN3_HI2	11	11.S.C 11.E.V 11.N.c 11.3.T 11._._ 11.H.C 11.I.V 11.2.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	sen³¹+ʔi³⁵	0	27 26
