ID	ID	LOCAL_ID	LANGUAGE_ID	PARAMETER_ID	VALUE	FORM	SEGMENTS	COMMENT	SOURCE	COGNACY	LOAN	CONCEPT_NAME	CONCEPT_CONCEPTICON_ID	CONCEPT_CONCEPTICON_GLOSS	LANGUAGE_NAME	LANGUAGE_GLOTTOCODE	LANGUAGE_GLOTTOLOG_NAME	LANGUAGE_ISO639P3CODE	LANGUAGE_MACROAREA	LANGUAGE_FAMILY	DOCULECT	CONCEPT	IPA	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGIDS	STRUCTURE	ALIGNMENT	CROSSIDS	PATTERNS
10412	qiandongeast-Chen-2013-888-430-1		qiandongeast	Chen-2013-888-430	pɛ²⁴	pɛ²⁴	p ɛ ²⁴		Chen2013			三	492	THREE	Qiandong, East	east2370					qiandongeast	三	pɛ²⁴	1 7 8	AXT	PE2	9	9.P.C 9.E.V 9.2.T	1.6 3.0 1.0	0	18	i n t	p - ɛ ²⁴	18	73-19/p 84-2/- 31-4/o 181-50/³⁵
10414	qiandongwest-Chen-2013-888-430-1		qiandongwest	Chen-2013-888-430	poi⁴⁴	poi⁴⁴	p oi ⁴⁴		Chen2013			三	492	THREE	Qiandong, West						qiandongwest	三	poi⁴⁴	1 7 7 8	AXYT	PUI5	10	10.P.C 10.U.V 10.I.V 10.5.T	1.6 3.0 3.0 1.0	1	18	i n t	p - oi ⁴⁴	18	73-19/p 84-2/- 31-4/o 181-50/³⁵
10415	bahengwest-Chen-2013-888-430-1		bahengwest	Chen-2013-888-430	po³⁵	po³⁵	p o ³⁵		Chen2013			三	492	THREE	Baheng, West	pahn1237					bahengwest	三	po³⁵	1 7 8	AXT	PU2	2	2.P.C 2.U.V 2.2.T	1.6 3.0 1.0	0	18	i n t	p - o ³⁵	18	73-19/p 84-2/- 31-4/o 181-50/³⁵
10416	bahengeast-Chen-2013-888-430-1		bahengeast	Chen-2013-888-430	po³⁵	po³⁵	p o ³⁵		Chen2013			三	492	THREE	Baheng, East	pahn1237					bahengeast	三	po³⁵	1 7 8	AXT	PU2	1	1.P.C 1.U.V 1.2.T	1.6 3.0 1.0	0	18	i n t	p - o ³⁵	18	73-19/p 84-2/- 31-4/o 181-50/³⁵
2238	luobuoheeastern-Chen-2013-888-92-1		luobuoheeastern	Chen-2013-888-92	qo⁰⁵ze³³	qo⁰⁵ze³³	q o ⁵/⁰ + z e ³³		Chen2013			下巴	1510	CHIN	Luobuohe, Eastern	luop1235					luobuoheeastern	下巴	qo⁵/⁰+ze³³	1 7 8 9 3 7 8	AXT_AXT	KU6_SE4	7	7.K.C 7.U.V 7.6.T 7._._ 7.S.C 7.E.V 7.4.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	20 21	i n t + i n t	q o ⁵/⁰ + z e ³³	13 21	310-9/q 111-3/a 306-4/⁰ + 435-1/tɕʰ 291-3/i 125-1/³¹
2240	chuanqiandian-Chen-2013-888-92-1		chuanqiandian	Chen-2013-888-92	pua⁴³tʂai¹³	pua⁴³tʂai¹³	p ua ⁴³ + tʂ ai ¹³		Chen2013			下巴	1510	CHIN	Chuanqiandian	chua1256					chuanqiandian	下巴	pua⁴³+tʂai¹³	1 7 8 9 1 3 7 8	AXT_ACXT	PY3_TSA2	3	3.P.C 3.Y.V 3.3.T 3._._ 3.T.C 3.S.C 3.A.V 3.2.T	1.6 3.0 1.0 0.0 1.6 1.2 3.0 1.0	0	25 21	i n t + i n t	p ua ⁴³ + tʂ ai ¹³	25 21	0/n 0/n 0/n + 435-1/tɕʰ 291-3/i 125-1/³¹
2242	chuanqiandiansouthernguizhou-Chen-2013-888-92-1		chuanqiandiansouthernguizhou	Chen-2013-888-92	tɕi²²se³²	tɕi²²se³²	tɕ i ²² + s e ³²		Chen2013			下巴	1510	CHIN	Chuanqiandian, Southern Guizhou	cent1394					chuanqiandiansouthernguizhou	下巴	tɕi²²+se³²	2 7 8 9 3 7 8	AXT_AXT	CI1_SE3	6	6.C.C 6.I.V 6.1.T 6._._ 6.S.C 6.E.V 6.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	24 21	i n t + i n t	tɕ i ²² + s e ³²	24 21	0/n 0/n 0/n + 435-1/tɕʰ 291-3/i 125-1/³¹
2249	qiandongwest-Chen-2013-888-92-1		qiandongwest	Chen-2013-888-92	qa³³ɕe⁵³	qa³³ɕe⁵³	q a ³³ + ɕ e ⁵³		Chen2013			下巴	1510	CHIN	Qiandong, West						qiandongwest	下巴	qa³³+ɕe⁵³	1 7 8 9 3 7 8	AXT_AXT	KA4_SE3	10	10.K.C 10.A.V 10.4.T 10._._ 10.S.C 10.E.V 10.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	20 21	i n t + i n t	q a ³³ + ɕ e ⁵³	13 21	310-9/q 111-3/a 306-4/⁰ + 435-1/tɕʰ 291-3/i 125-1/³¹
2250	bahengwest-Chen-2013-888-92-1		bahengwest	Chen-2013-888-92	ʔa⁰³ŋo³³tɕei⁴²	ʔa⁰³ŋo³³tɕei⁴²	ʔ a ³/⁰ + ŋ o ³³ + tɕ ei ⁴²		Chen2013			下巴	1510	CHIN	Baheng, West	pahn1237					bahengwest	下巴	ʔa³/⁰+ŋo³³+tɕei⁴²	1 7 8 9 4 7 8 9 2 7 8	AXT_AXT_AXT	HA6_NU4_CE3	2	2.H.C 2.A.V 2.6.T 2._._ 2.N.C 2.U.V 2.4.T 2._._ 2.C.C 2.E.V 2.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	27 29 21	i n t + i n t + i n t	ʔ a ³/⁰ + ŋ o ³³ + tɕ ei ⁴²	17 29 21	198-1/ʔ 362-2/a 153-4/⁰ + 0/n 0/n 0/n + 435-1/tɕʰ 291-3/i 125-1/³¹
2251	bahengeast-Chen-2013-888-92-1		bahengeast	Chen-2013-888-92	ʑuŋ³³tɕʰi³¹	ʑuŋ³³tɕʰi³¹	ʑ u ŋ ³³ + tɕʰ i ³¹		Chen2013			下巴	1510	CHIN	Baheng, East	pahn1237					bahengeast	下巴	ʑuŋ³³+tɕʰi³¹	3 7 4 8 9 2 7 8	AXLT_AXT	SYN4_CI3	1	1.S.C 1.Y.V 1.N.c 1.4.T 1._._ 1.C.C 1.I.V 1.3.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	0	22 21	i n c t + i n t	ʑ u ŋ ³³ + tɕʰ i ³¹	22 21	0/n 0/n 0/n 0/n + 435-1/tɕʰ 291-3/i 125-1/³¹
2239	luobuohewestern-Chen-2013-888-92-1		luobuohewestern	Chen-2013-888-92	ʔə⁰²qe³¹ze⁵⁵	ʔə⁰²qe³¹ze⁵⁵	ʔ ə ²/⁰ + q e ³¹ + z e ⁵⁵		Chen2013			下巴	1510	CHIN	Luobuohe, Western	luop1235					luobuohewestern	下巴	ʔə²/⁰+qe³¹+ze⁵⁵	1 7 8 9 1 7 8 9 3 7 8	AXT_AXT_AXT	HE6_KE3_SE5	8	8.H.C 8.E.V 8.6.T 8._._ 8.K.C 8.E.V 8.3.T 8._._ 8.S.C 8.E.V 8.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	27 23 21	i n t + i n t + i n t	ʔ ə ²/⁰ + q e ³¹ + z e ⁵⁵	17 23 21	198-1/ʔ 362-2/a 153-4/⁰ + 0/n 0/n 0/n + 435-1/tɕʰ 291-3/i 125-1/³¹
2241	chuanqiandiancentralguizhou-Chen-2013-888-92-1		chuanqiandiancentralguizhou	Chen-2013-888-92	qə⁰²se⁵⁵	qə⁰²se⁵⁵	q ə ²/⁰ + s e ⁵⁵		Chen2013			下巴	1510	CHIN	Chuanqiandian, Central Guizhou	nort2749					chuanqiandiancentralguizhou	下巴	qə²/⁰+se⁵⁵	1 7 8 9 3 7 8	AXT_AXT	KE6_SE5	4	4.K.C 4.E.V 4.6.T 4._._ 4.S.C 4.E.V 4.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	20 21	i n t + i n t	q ə ²/⁰ + s e ⁵⁵	13 21	310-9/q 111-3/a 306-4/⁰ + 435-1/tɕʰ 291-3/i 125-1/³¹
