ID	ENGLISH	REFLEXES	TBL	CONCEPTICON
204	he or she [third person singular]	18	0934	262
205	the head	22	0074	1256
206	to hear	20	1682	1408
207	the heart	20	0144	1223
208	heavy	18	1014	1210
209	here	26	0944	136
210	to hide (conceal)	22	1169	602
211	high / tall	18	0968	1265
212	to hold	20	1709	1448
213	the hoof	18	0264	152
214	horizontal	26	1001	2376
215	the horn (keratinized skin)	10	0263	1393
216	the horn (woodwind)	24	0667	939
217	the horse	16	0268	615
218	hot	24	1062	1286
219	the house	18	0494	1252
220	hundred	20	0824	1634
221	hungry	22	1298	1533
222	to hunt	26	1230	1435
223	the husband	20	0247	1200
224	I [first person singular]	18	0928	1209
225	the ice	14	0017	617
226	inhale (v.)	10		
227	injure / hurt (the arm) (v.)	8		
228	the insect	18	0353	620
229	inside	22	0715	1606
230	the intestines	22	0149	1991
231	to itch	20	1749	148
232	to kick	22	1667	1135
233	the kidney	22	0146	489
234	to kill	20	1602	1417
235	the knee	26	0101	1371
236	the knife	22	0549	1352
237	the ladle	20	0551	206
238	the lake	18	0031	624
239	to land / descend	20	1418	1922
240	late	24	1019	477
241	to laugh	12	1735	1355
242	the leaf	38	0376	2250
243	leak (v.)	9		
244	learn (v.)	10		
245	the leech	32	0364	2273
246	left	26	0710	244
247	the leg	18	0103	1297
248	to lick	12	1674	319
249	to lie down	26	1661	215
250	to lift (the lid)	18	1438	501
251	light (of weight)	18	1015 || 1052	1052
252	line up (v.)	10		
253	the lip (the lips)	20	0085	478
254	to listen	18	1681	1608
255	the liver	18	0145	1224
256	long	18	0972	1203
257	look like / resemble (v.)	12		
258	the louse	18	0356	1392
259	to love	22	1126	923
260	lower (the head) (v.)	11		
261	the lung	18	0143	688
262	make (tea) (v.)	9		
263	make / cause (v.)	10		
264	the man (male human)	20	0173	2106
265	many	18	0987	1198
266	marry (v.)	11		
267	the meat	18	0443	634
268	the medicine	22	0456	1372
269	middle	24	0708	1093
270	the milk	26	0095	635
271	the millet	18	0417	931
272	the mole	16	0122	1907
273	the monkey	18	0308	1350
274	the moon	24	0004	1313
275	morning	24	0749	1339
276	the mortar	20	0627	224
277	the mosquito	20	0360	1509
278	the mother	22	0219	1216
279	the mountain	20	0023	639
280	the mouse or rat	18	0320	2139
281	the mouth	18	0084	674
282	the mud	22	0046	640
283	the mushroom	20	0437	641
284	the nail (fingernail or claw)	18	0113	2128
285	the name	24	0687	1405
286	narrow	22	0977	1267
287	the navel	22	0097	1838
288	near	20	0975	1942
289	the neck	14	0089	1333
290	the needle (for sewing)	20	0578	1382
291	new	18	1050	1231
292	nine	18	0805	1483
293	the nit	14	0357	267
294	noon	28	0750	12
295	the north	10	0707	1598
296	the nose	12	0080	1221
297	old (aged)	16	1058	1229
298	old (of person)	20	1058	2112
299	old, be (v.)	10		
300	one	22	0797	1493
301	the otter	20	0317	15
302	outside	20	0714	762
303	pare / peel with a knife (v.)	9		
304	paste / stick / glue (v.)	10		
305	the peanut	24	0434	2364
306	to pee	20	1596	592
307	the pestle	24	0628	225
308	to pick	20	1782	371
309	piece (of egg)	20	0841	594
310	the pig	18	0284	1337
311	the pine	26	0385	1740
312	the pit (stone of fruit)	24	0379	857
313	to plant (vegetals, rice)	16	1774	1486
314	to play	24	1703	1413
315	the plow	22	0614	1921
316	the poison	20	0641	655
317	prize / pry (v.)	9		
318	to pull	20	1568	1455
319	punish (v.)	10		
320	the pus	20	0159	1808
321	to push	26	1689	1452
322	the rabbit	26	0292	1136
323	the rain	18	0010	658
324	the rainbow	34	0011	1733
325	raise (chickens) (v.)	11		
326	to read	20	1287	724
327	red	18	1007	156
328	rely / lean on (v.)	11		
329	to remember	22	1407	707
330	to repair	18	1161	2243
331	repay (a debt) (v.)	9		
332	to reside (live)	18	1452	1099
333	to return	20	1385	581
334	the rib	22	0135	801
335	the rice plant	24	0439	2026
336	to ride	20	1566	367
337	right	24	0711	1019
338	ripe	18	1638	178
339	the river	20	0030	666
340	the road	22	0038	667
341	roll (v.)	11		
342	the roof	18	0495	769
343	the root	22	0375	670
344	the rope	20	0619	1218
345	rot (v.)	9		
346	round	26	0990	1395
347	the saliva	24	0156	1503
348	the salt	18	0061	1274
349	salty	18	1076	1091
350	the sand	26	0044	671
351	the scar	26	0125	497
352	to scratch	26	1530	1436
353	the sea	20	0032	1474
354	to see	18	1471	1409
355	the seed	22	0405	714
356	to sell	20	1517	1571
357	to send (a letter)	14	1409	1127
358	seven	20	0803	1704
359	sew (up) (v.)	9		
360	the shadow	26	0698	2275
361	shake / quake (v.)	12		
362	shallow	20	0983	193
363	sharp	18	1020	1396
364	to shave	20	1352	231
365	the sheep	18	0275	1331
366	sheet (classifier for paper)	20	0839	2729
367	to shiver	20	1303	52
368	the shoe	24	0479	1381
369	to shoot (an arrow)	20	1611	1172
370	short	22	0973	1645
371	the shoulder	22	0090	1482
372	to shout	18	1368	715
373	shrivel up / wither (v.)	10		
374	shy	18	1365	487
375	the sickle	24	0624	341
376	the silver	18	0052	759
377	to sing	22	1184	1261
378	to sink	20	1187	1088
379	six	18	0802	1703
380	the skin	24	0120	763
381	the sky	18	0001	1732
382	to sleep	18	1646	1585
383	slow	20	1017	701
384	small	18	0965	1246
